node_type,best_module_filename,best_module_name,best_module_params,best_execution_time
lexical_retrieval,0.parquet,BM25,"{'top_k': 3, 'bm25_tokenizer': 'space'}",0.0039515733718872
semantic_retrieval,0.parquet,VectorDB,"{'top_k': 3, 'vectordb': 'chroma_local'}",0.706060242652893
hybrid_retrieval,0.parquet,HybridRRF,"{'top_k': 3, 'weight_range': (4, 60), 'weight': 4.0}",0.1404595851898193
