filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,retrieval_ndcg,retrieval_mrr,is_best
0.parquet,HybridRRF,"{'top_k': 5, 'weight_range': (4, 80), 'weight': 4.0}",0.2255505084991455,0.33333333333333337,1.0,0.2,0.9630929753571458,0.95,False
1.parquet,HybridCC,"{'top_k': 5, 'normalize_method': 'tmm', 'weight_range': (0.0, 1.0), 'test_weight_size': 21, 'weight': 0.0}",0.055930352210998534,0.33333333333333337,1.0,0.2,1.0,1.0,True
2.parquet,HybridCC,"{'top_k': 5, 'normalize_method': 'z', 'weight_range': (0.0, 1.0), 'test_weight_size': 21, 'weight': 0.0}",0.05465054512023926,0.33333333333333337,1.0,0.2,1.0,1.0,False
3.parquet,HybridCC,"{'top_k': 5, 'normalize_method': 'mm', 'weight_range': (0.0, 1.0), 'test_weight_size': 21, 'weight': 0.0}",0.05476725101470947,0.33333333333333337,1.0,0.2,1.0,1.0,False
